titre	nom	date de modification	taille	url	fil d'ariane
synergie_sfg_sc_trac_v1.00.docx	synergie_sfg_sc_trac_v1.00.docx	10/03/2021	551 ko	/plugins/docman/download/9819	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / trac
synergie_sfg_sc_trac_v001.docx	synergie_sfg_sc_trac_v001.docx	10/03/2021	550 ko	/plugins/docman/download/9823	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / trac / archives
untitled.uml	untitled.uml	10/03/2021	40,0 ko	/plugins/docman/download/9828	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / trac / ressources
trac_global.pptx	trac_global.pptx	10/03/2021	76,0 ko	/plugins/docman/download/9827	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / trac / ressources
sequencediagram1.jpg	sequencediagram1.jpg	10/03/2021	36,5 ko	/plugins/docman/download/9826	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / trac / ressources
form-mokups.bmml	form-mokups.bmml	10/03/2021	4,37 ko	/plugins/docman/download/9825	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / trac / ressources
pr-gr-21-29433-présentation habilitations cdm-sifa - r004	pr-gr-21-29433-prsentation habilitations cdm-sifa - r004.pptx	27/07/2022	1,63 mo	/plugins/docman/download/19453	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu
pr-gr-21-29433-présentation habilitations cdm-sifa - r003	pr-gr-21-29433-prsentation habilitations cdm-sifa - r003.pptx	27/07/2022	1,63 mo	/plugins/docman/download/19452	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu
synergie-sfg-systme de gestion des utilisateurs-v1.20.0	synergie-sfg-systme de gestion des utilisateurs-v1.20.0.doc	23/03/2021	4,58 mo	/plugins/docman/download/12526	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu
synergie-sfg-systme de gestion des utilisateurs-v1.20.0_ressources	synergie-sfg-systme de gestion des utilisateurs-v1.20.0_ressources.zip	18/03/2021	533 ko	/plugins/docman/download/12412	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu
synergie-sfg-système de gestion des utilisateurs-v1.19_wip.doc	synergie-sfg-systme de gestion des utilisateurs-v1.19_wip.doc	10/03/2021	4,56 mo	/plugins/docman/download/9672	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.19_ressources.zip	synergie-sfg-systme de gestion des utilisateurs-v1.19_ressources.zip	10/03/2021	505 ko	/plugins/docman/download/9671	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.19_ressources.zip	synergie-sfg-systme de gestion des utilisateurs-v1.19_ressources.zip	10/03/2021	414 ko	/plugins/docman/download/9706	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.17_ressource.zip	synergie-sfg-systme de gestion des utilisateurs-v1.17_ressource.zip	10/03/2021	289 ko	/plugins/docman/download/9704	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.17.doc	synergie-sfg-systme de gestion des utilisateurs-v1.17.doc	10/03/2021	4,57 mo	/plugins/docman/download/9703	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.16_ressource.zip	synergie-sfg-systme de gestion des utilisateurs-v1.16_ressource.zip	10/03/2021	289 ko	/plugins/docman/download/9702	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.16.doc.zip	synergie-sfg-systme de gestion des utilisateurs-v1.16.doc.zip	10/03/2021	3,19 mo	/plugins/docman/download/9701	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.16.doc	synergie-sfg-systme de gestion des utilisateurs-v1.16.doc	10/03/2021	4,57 mo	/plugins/docman/download/9700	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.15_ressource.zip	synergie-sfg-systme de gestion des utilisateurs-v1.15_ressource.zip	10/03/2021	289 ko	/plugins/docman/download/9699	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.15.doc	synergie-sfg-systme de gestion des utilisateurs-v1.15.doc	10/03/2021	4,57 mo	/plugins/docman/download/9698	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.14_ressource.zip	synergie-sfg-systme de gestion des utilisateurs-v1.14_ressource.zip	10/03/2021	289 ko	/plugins/docman/download/9697	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.13.doc	synergie-sfg-systme de gestion des utilisateurs-v1.13.doc	10/03/2021	4,55 mo	/plugins/docman/download/9695	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.12.doc	synergie-sfg-systme de gestion des utilisateurs-v1.12.doc	10/03/2021	4,53 mo	/plugins/docman/download/9694	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.11.doc	synergie-sfg-systme de gestion des utilisateurs-v1.11.doc	10/03/2021	4,13 mo	/plugins/docman/download/9693	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.08.doc	synergie-sfg-systme de gestion des utilisateurs-v1.08.doc	10/03/2021	4,09 mo	/plugins/docman/download/9692	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.05.zip	synergie-sfg-systme de gestion des utilisateurs-v1.05.zip	10/03/2021	317 ko	/plugins/docman/download/9691	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.04_resources.zip	synergie-sfg-systme de gestion des utilisateurs-v1.04_resources.zip	10/03/2021	314 ko	/plugins/docman/download/9690	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.04.doc	synergie-sfg-systme de gestion des utilisateurs-v1.04.doc	10/03/2021	3,95 mo	/plugins/docman/download/9689	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.03_resources.zip	synergie-sfg-systme de gestion des utilisateurs-v1.03_resources.zip	10/03/2021	5,06 ko	/plugins/docman/download/9688	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.03.doc	synergie-sfg-systme de gestion des utilisateurs-v1.03.doc	10/03/2021	3,92 mo	/plugins/docman/download/9687	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.02.zip	synergie-sfg-systme de gestion des utilisateurs-v1.02.zip	10/03/2021	391 ko	/plugins/docman/download/9686	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.02.doc	synergie-sfg-systme de gestion des utilisateurs-v1.02.doc	10/03/2021	3,72 mo	/plugins/docman/download/9685	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.01.zip	synergie-sfg-systme de gestion des utilisateurs-v1.01.zip	10/03/2021	300 ko	/plugins/docman/download/9684	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.01.doc	synergie-sfg-systme de gestion des utilisateurs-v1.01.doc	10/03/2021	3,33 mo	/plugins/docman/download/9683	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.00_resources.zip	synergie-sfg-systme de gestion des utilisateurs-v1.00_resources.zip	10/03/2021	335 ko	/plugins/docman/download/9682	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v1.00.doc	synergie-sfg-systme de gestion des utilisateurs-v1.00.doc	10/03/2021	2,86 mo	/plugins/docman/download/9681	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v0.02_resources.zip	synergie-sfg-systme de gestion des utilisateurs-v0.02_resources.zip	10/03/2021	140 ko	/plugins/docman/download/9680	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v0.02.doc	synergie-sfg-systme de gestion des utilisateurs-v0.02.doc	10/03/2021	2,78 mo	/plugins/docman/download/9679	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisateurs-v0.02 (remarques asp - 13-03-2014).doc	synergie-sfg-systme de gestion des utilisateurs-v0.02 (remarques asp - 13-03-2014).doc	10/03/2021	2,79 mo	/plugins/docman/download/9678	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-système de gestion des utilisatesynergie_sfg_sc_aelurs-v1.05.doc	synergie-sfg-systme de gestion des utilisatesynergie_sfg_sc_aelurs-v1.05.doc	10/03/2021	3,80 mo	/plugins/docman/download/9677	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
synergie-sfg-gestion des entités organisationnelles.docx	synergie-sfg-gestion des entits organisationnelles.docx	10/03/2021	963 ko	/plugins/docman/download/9676	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
frd-synergie_sfg_sgu_v1.13_v1.1.docx	frd-synergie_sfg_sgu_v1.13_v1.1.docx	10/03/2021	84,8 ko	/plugins/docman/download/9675	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
frd-synergie_sfg_sgu_v1.13_v1.0_cgi.docx	frd-synergie_sfg_sgu_v1.13_v1.0_cgi.docx	10/03/2021	89,9 ko	/plugins/docman/download/9674	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives
sgu_admin_selection_ecr_selectionpersonne.xlsx	sgu_admin_selection_ecr_selectionpersonne.xlsx	10/03/2021	18,4 ko	/plugins/docman/download/9813	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_selection_ecr_selectionpersonne.bmml	sgu_admin_selection_ecr_selectionpersonne.bmml	10/03/2021	5,61 ko	/plugins/docman/download/9812	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_selection_ecr_selectionnerentiteorga.bmml	sgu_admin_selection_ecr_selectionnerentiteorga.bmml	10/03/2021	5,09 ko	/plugins/docman/download/9811	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_selection_ecr_selectiongroupe.xlsx	sgu_admin_selection_ecr_selectiongroupe.xlsx	10/03/2021	17,4 ko	/plugins/docman/download/9810	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_selection_ecr_selectiongroupe.bmml	sgu_admin_selection_ecr_selectiongroupe.bmml	10/03/2021	4,04 ko	/plugins/docman/download/9809	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_selection_ecr_selectiondroit.xlsx	sgu_admin_selection_ecr_selectiondroit.xlsx	10/03/2021	17,1 ko	/plugins/docman/download/9808	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_selection_ecr_selectiondroit.bmml	sgu_admin_selection_ecr_selectiondroit.bmml	10/03/2021	3,09 ko	/plugins/docman/download/9807	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_personne_ecr_rechercher.xlsx	sgu_admin_personne_ecr_rechercher.xlsx	10/03/2021	20,1 ko	/plugins/docman/download/9806	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_personne_ecr_rechercher.png	sgu_admin_personne_ecr_rechercher.png	10/03/2021	88,8 ko	/plugins/docman/download/9805	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_personne_ecr_rechercher.bmml	sgu_admin_personne_ecr_rechercher.bmml	10/03/2021	8,22 ko	/plugins/docman/download/9804	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_personne_ecr_modifier.bmml	sgu_admin_personne_ecr_modifier.bmml	10/03/2021	17,4 ko	/plugins/docman/download/9803	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_personne_ecr_creer.bmml	sgu_admin_personne_ecr_creer.bmml	10/03/2021	10,7 ko	/plugins/docman/download/9802	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_personne_ecr_afficher.bmml	sgu_admin_personne_ecr_afficher.bmml	10/03/2021	20,7 ko	/plugins/docman/download/9801	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_groupehabilite_ecr_rechercher.xlsx	sgu_admin_groupehabilite_ecr_rechercher.xlsx	10/03/2021	18,6 ko	/plugins/docman/download/9800	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_groupehabilite_ecr_rechercher.bmml	sgu_admin_groupehabilite_ecr_rechercher.bmml	10/03/2021	4,79 ko	/plugins/docman/download/9799	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_groupehabilite_ecr_modifier.bmml	sgu_admin_groupehabilite_ecr_modifier.bmml	10/03/2021	10,0 ko	/plugins/docman/download/9798	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_groupehabilite_ecr_creer.bmml	sgu_admin_groupehabilite_ecr_creer.bmml	10/03/2021	3,48 ko	/plugins/docman/download/9797	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_groupehabilite_ecr_afficher.bmml	sgu_admin_groupehabilite_ecr_afficher.bmml	10/03/2021	9,99 ko	/plugins/docman/download/9796	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_entite_ecr_rechercher.bmml	sgu_admin_entite_ecr_rechercher.bmml	10/03/2021	3,72 ko	/plugins/docman/download/9795	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_entite_ecr_modifier.bmml	sgu_admin_entite_ecr_modifier.bmml	10/03/2021	9,10 ko	/plugins/docman/download/9794	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_entite_ecr_creer.bmml	sgu_admin_entite_ecr_creer.bmml	10/03/2021	11,9 ko	/plugins/docman/download/9793	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_entite_ecr_afficher.bmml	sgu_admin_entite_ecr_afficher.bmml	10/03/2021	8,49 ko	/plugins/docman/download/9792	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_audit_ecr_utilparstatut.bmml	sgu_admin_audit_ecr_utilparstatut.bmml	10/03/2021	3,63 ko	/plugins/docman/download/9791	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_audit_ecr_connexion_resultats.xlsx	sgu_admin_audit_ecr_connexion_resultats.xlsx	10/03/2021	18,1 ko	/plugins/docman/download/9789	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_audit_ecr_connexion_resultats.bmml	sgu_admin_audit_ecr_connexion_resultats.bmml	10/03/2021	2,11 ko	/plugins/docman/download/9788	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_admin_audit_ecr_connexion.bmml	sgu_admin_audit_ecr_connexion.bmml	10/03/2021	5,39 ko	/plugins/docman/download/9787	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
sgu_adminperso_ecr_modifierinfo.bmml	sgu_adminperso_ecr_modifierinfo.bmml	10/03/2021	7,73 ko	/plugins/docman/download/9786	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / maquettes
synergie-sfg-sgu_presentation_lemonldap_architecture_technique.pptx	synergie-sfg-sgu_presentation_lemonldap_architecture_technique.pptx	10/03/2021	110 ko	/plugins/docman/download/9784	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_presentation_lemonldap_architecture_fonctionnelle.pptx	synergie-sfg-sgu_presentation_lemonldap_architecture_fonctionnelle.pptx	10/03/2021	71,5 ko	/plugins/docman/download/9783	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_mcd.graphml	synergie-sfg-sgu_mcd.graphml	10/03/2021	22,0 ko	/plugins/docman/download/9782	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_diagramseq_process création de personne_cas module admin.txt	synergie-sfg-sgu_diagramseq_process cration de personne_cas module admin.txt	10/03/2021	860 octet(s)	/plugins/docman/download/9781	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_diagramseq_process création de personne_cas appli externe.txt	synergie-sfg-sgu_diagramseq_process cration de personne_cas appli externe.txt	10/03/2021	854 octet(s)	/plugins/docman/download/9780	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_diagramcu_authent et ctrl accès.graphml	synergie-sfg-sgu_diagramcu_authent et ctrl accs.graphml	10/03/2021	19,8 ko	/plugins/docman/download/9779	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_diagramcu_admin personnelle.graphml	synergie-sfg-sgu_diagramcu_admin personnelle.graphml	10/03/2021	27,8 ko	/plugins/docman/download/9777	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_ctrlauth_diagramseg_authentifier util ext.graphml	synergie-sfg-sgu_ctrlauth_diagramseg_authentifier util ext.graphml	10/03/2021	21,3 ko	/plugins/docman/download/9776	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_ctrlauth_diagramacti_s'authentifier si.graphml	synergie-sfg-sgu_ctrlauth_diagramacti_s'authentifier si.graphml	10/03/2021	33,3 ko	/plugins/docman/download/9775	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
synergie-sfg-sgu_ctrlauth_diagramacti_accéder ressource.graphml	synergie-sfg-sgu_ctrlauth_diagramacti_accder ressource.graphml	10/03/2021	21,3 ko	/plugins/docman/download/9774	documentation du projet / documentation fonctionnelle - basculée sur sharepoint / 02 - synergie backoffice / 01 - socle / sgu / _archives / synergie-sfg-ressources / diagrammes
